as_of,record_type,region,sort_order,key,label,market,target,window,method,family,period,week_label,cutoff_day,value,value_label,prior_period,signal,interpretation,status,rank,months,mae,rmse,pearson,forecast,actual,error,note,
Jun-26,weekly_prediction,jp,2,,Japan,,,,,,May-26,May W3,17,,,,Confidence firms,Weekly nowcast interpolated from the May and June Japan confidence path.,,,,,,,35.80,,,,
Jun-26,weekly_prediction,jp,3,,Japan,,,,,,May-26,May W4,24,,,,Late-May rebound,Weekly nowcast interpolated from the May and June Japan confidence path.,,,,,,,36.00,,,,
Jun-26,weekly_prediction,jp,4,,Japan,,,,,,Jun-26,Jun W1,3,,,,Early June holds gains,Weekly nowcast interpolated from the May and June Japan confidence path.,,,,,,,36.20,,,,
Jun-26,forecast_news,us,1,weekly,"Sentiment rebounded in early June as gasoline-price pressure eased.","University of Michigan",,,,,Jun W1,,,,,,"Sentiment","The preliminary June survey showed a rebound from May while inflation expectations remained elevated.",,,,,,,,,,https://www.sca.isr.umich.edu/,
Jun-26,forecast_news,us,2,weekly,"Year-ahead inflation expectations edged down but stayed high.","University of Michigan",,,,,Jun W1,,,,,,"Inflation","The one-year inflation outlook slipped from May, which supports a modest sentiment rebound but keeps cost-of-living risk in the forecast.",,,,,,,,,,https://www.sca.isr.umich.edu/,
Jun-26,forecast_news,us,3,weekly,"Current conditions and expectations both improved from May.","Briefing.com",,,,,Jun W1,,,,,,"Survey details","June gains were broad enough to lift both current conditions and expectations, matching the weekly path's gradual improvement.",,,,,,,,,,https://www.briefing.com/calendars/economic/display-article?ArticleId=ER20251107100000Univ.ofMichiganConsumerSentiment-Prelim&FileName=mich.htm,
Jun-26,forecast_news,us,4,monthly,"June sentiment improved from May but remained historically weak.","Trading Economics",,,,,Jun-26,,,,,,"Monthly signal","The June monthly forecast is shaped by a rebound from a depressed May base, not by a full normalization of household sentiment.",,,,,,,,,,https://tradingeconomics.com/united-states/consumer-confidence,
Jun-26,forecast_news,us,5,monthly,"Inflation expectations eased only partially in June.","University of Michigan",,,,,Jun-26,,,,,,"Inflation","Lower inflation expectations help the June forecast, while still-elevated readings limit the upside.",,,,,,,,,,https://www.sca.isr.umich.edu/,
Jun-26,forecast_news,us,6,monthly,"Fuel-cost relief was a visible support for June sentiment.","Barron's",,,,,Jun-26,,,,,,"Household costs","News coverage of easing gas prices aligns with the model's small positive June revision.",,,,,,,,,,https://www.barrons.com/livecoverage/stock-market-news-today-061226/card/consumers-more-upbeat-as-gas-prices-ease-hhs61nOs4UKyHb9bUab6,
Jun-26,forecast_news,eu,1,weekly,"EU and euro-area consumer confidence continued recovering in June.","European Commission",,,,,Jun W1,,,,,,"Confidence","The flash indicator rose by 1.2 points in the EU and 1.3 points in the euro area versus May, but stayed below its long-run average.",,,,,,,,,,https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/latest-business-and-consumer-surveys_en,
Jun-26,forecast_news,eu,2,weekly,"Euro-area confidence improved to -17.7 from -19.0.","Trading Economics",,,,,Jun W1,,,,,,"Release","The improvement supports a less negative weekly path, while the level still points to weak household confidence.",,,,,,,,,,https://tradingeconomics.com/euro-area/consumer-confidence,
Jun-26,forecast_news,eu,3,weekly,"The June reading remained well below its long-term average.","European Commission",,,,,Jun W1,,,,,,"Risk","The negative level keeps the EU27 nowcast cautious despite the month-on-month improvement.",,,,,,,,,,https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/latest-business-and-consumer-surveys_en,
Jun-26,forecast_news,eu,4,monthly,"June EU27 confidence improved from May but remained negative.","European Commission",,,,,Jun-26,,,,,,"Monthly signal","The monthly path reflects a less negative June reading after May weakness, with confidence still below normal.",,,,,,,,,,https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/latest-business-and-consumer-surveys_en,
Jun-26,forecast_news,eu,5,monthly,"Euro-area sentiment stayed below its long-run average.","European Commission",,,,,Jun-26,,,,,,"Risk","The forecast improves modestly, but the level remains cautious because households still report weak confidence.",,,,,,,,,,https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/latest-business-and-consumer-surveys_en,
Jun-26,forecast_news,eu,6,monthly,"Inflation and growth uncertainty continue to weigh on households.","Trading Economics",,,,,Jun-26,,,,,,"Macro backdrop","The June forecast keeps the rebound small because household sentiment is still sensitive to prices and growth risks.",,,,,,,,,,https://tradingeconomics.com/euro-area/consumer-confidence,
Jun-26,forecast_news,jp,1,weekly,"Japan's May consumer confidence index rose to 33.6.","ESRI Cabinet Office",,,,,Jun W1,,,,,,"Confidence","The latest official release showed a 1.4 point improvement from April, setting a firmer base for the June weekly path.",,,,,,,,,,https://www.esri.cao.go.jp/en/stat/shouhi/shouhi-e.html,
Jun-26,forecast_news,jp,2,weekly,"Employment and income-growth perceptions improved in May.","ESRI Cabinet Office",,,,,Jun W1,,,,,,"Household outlook","Improvement in employment and income-growth subindices supports the mild upward weekly path.",,,,,,,,,,https://www.esri.cao.go.jp/en/stat/shouhi/shouhi-e.html,
Jun-26,forecast_news,jp,3,weekly,"Sentiment remained below the neutral 50 threshold.","FocusEconomics",,,,,Jun W1,,,,,,"Risk","The latest reading improved but remained pessimistic, so the Japan forecast is shown as a cautious firming rather than a breakout.",,,,,,,,,,https://www.focus-economics.com/countries/japan/news/consumer-confidence/japan-consumer-confidence-29-05-2026-consumer-confidence-increases-in-may/,
Jun-26,forecast_news,jp,4,monthly,"Japan confidence strengthened from April into May.","ESRI Cabinet Office",,,,,Jun-26,,,,,,"Monthly signal","The June monthly forecast carries forward the improvement seen in the latest official confidence release.",,,,,,,,,,https://www.esri.cao.go.jp/en/stat/shouhi/shouhi-e.html,
Jun-26,forecast_news,jp,5,monthly,"Income-growth and employment perceptions supported the rebound.","ESRI Cabinet Office",,,,,Jun-26,,,,,,"Household outlook","Better income-growth and employment readings point to firmer household sentiment entering June.",,,,,,,,,,https://www.esri.cao.go.jp/en/stat/shouhi/shouhi-e.html,
Jun-26,forecast_news,jp,6,monthly,"Confidence improved, but the level remained cautious.","FocusEconomics",,,,,Jun-26,,,,,,"Risk","The Japan monthly path shows a mild strengthening rather than a sharp recovery because sentiment remains below neutral.",,,,,,,,,,https://www.focus-economics.com/countries/japan/news/consumer-confidence/japan-consumer-confidence-29-05-2026-consumer-confidence-increases-in-may/,
Jun-26,region_summary,us,1,,US,North America,University of Michigan Index of Consumer Sentiment,2020-01 to 2026-06,ConsumerSim respondent simulation,simulation,Jun-26,,,53.9,,,#1 by MAE among displayed non-naive methods,Displayed months: Jul-25 to Jun-26.,forecast,1,75,3.936,4.879,0.932,54.1,,,,
Jun-26,region_summary,eu,2,,EU27,Europe,Eurostat consumer confidence indicator,2020-01 to 2026-06,ConsumerSim EU adapted macro + market smoothing,simulation,Jun-26,,,-12.5,,,#1 by MAE among displayed non-naive methods,Leads the displayed model comparison for EU27.,forecast,1,75,1.607,2.737,0.882,-12.8,,,,
Jun-26,region_summary,jp,3,,Japan,Asia,Cabinet Office / ESRI Consumer Confidence Index,2020-01 to 2026-06,ConsumerSim JP adapted macro + market smoothing,simulation,Jun-26,,,36.8,,,#1 by MAE among displayed non-naive methods,Leads the displayed model comparison for Japan.,forecast,1,75,1.35,2.088,0.813,36.2,,,,
Jun-26,leaderboard,us,1,,ConsumerSim respondent simulation,,,,,ConsumerSim respondent simulation,simulation,,,,,,,,,1,75,3.936,4.879,0.932,,,,,
Jun-26,leaderboard,us,2,,Autoregressive Ridge (3 lags),,,,,Autoregressive Ridge (3 lags),time_series,,,,,,,,,2,75,4.333,5.689,0.879,,,,,
Jun-26,leaderboard,us,3,,Expectations Regression,,,,,Expectations Regression,econometric,,,,,,,,,3,75,4.539,6.048,0.894,,,,,
Jun-26,leaderboard,us,4,,News Semantic FAAR Proxy,,,,,News Semantic FAAR Proxy,text_augmented_regression,,,,,,,,,4,75,4.542,6.155,0.87,,,,,
Jun-26,leaderboard,us,5,,3-Month Rolling Mean,,,,,3-Month Rolling Mean,time_series,,,,,,,,,5,75,4.876,6.455,0.837,,,,,
Jun-26,leaderboard,us,6,,SARIMAX Macro (small grid),,,,,SARIMAX Macro (small grid),econometric,,,,,,,,,6,75,5.466,8.47,0.806,,,,,
Jun-26,leaderboard,us,7,,Theta Model,,,,,Theta Model,time_series,,,,,,,,,7,75,5.709,7.683,0.774,,,,,
Jun-26,leaderboard,us,8,,ETS Damped Trend,,,,,ETS Damped Trend,time_series,,,,,,,,,8,75,5.724,7.72,0.774,,,,,
Jun-26,leaderboard,us,9,,Auto ARIMA (small grid),,,,,Auto ARIMA (small grid),time_series,,,,,,,,,9,75,6.328,8.661,0.739,,,,,
Jun-26,leaderboard,us,10,,Prophet Macro Regressors,,,,,Prophet Macro Regressors,decomposable_additive,,,,,,,,,10,75,6.556,8.324,0.825,,,,,
Jun-26,leaderboard,us,11,,Prophet Univariate,,,,,Prophet Univariate,decomposable_additive,,,,,,,,,11,75,7.118,8.914,0.678,,,,,
Jun-26,leaderboard,us,12,,Macro + Market + News Ridge,,,,,Macro + Market + News Ridge,augmented_regression,,,,,,,,,12,75,7.317,16.369,0.558,,,,,
Jun-26,leaderboard,us,13,,Macro Stable Ridge,,,,,Macro Stable Ridge,macro_regression,,,,,,,,,13,75,7.502,17.121,0.478,,,,,
Jun-26,leaderboard,eu,1,,ConsumerSim EU adapted,,,,,ConsumerSim EU adapted,simulation,,,,,,,,,1,75,1.607,2.737,0.882,,,,,
Jun-26,leaderboard,eu,2,,Theta Model,,,,,Theta Model,time_series,,,,,,,,,2,75,1.681,2.848,0.87,,,,,
Jun-26,leaderboard,eu,3,,ETS Damped Trend,,,,,ETS Damped Trend,time_series,,,,,,,,,3,75,1.833,3.471,0.83,,,,,
Jun-26,leaderboard,eu,4,,Autoregressive Ridge (3 lags),,,,,Autoregressive Ridge (3 lags),time_series,,,,,,,,,4,75,2.152,4.205,0.749,,,,,
Jun-26,leaderboard,eu,5,,3-Month Rolling Mean,,,,,3-Month Rolling Mean,time_series,,,,,,,,,5,75,2.216,3.422,0.804,,,,,
Jun-26,leaderboard,eu,6,,Auto ARIMA (small grid),,,,,Auto ARIMA (small grid),time_series,,,,,,,,,6,75,2.373,4.173,0.767,,,,,
Jun-26,leaderboard,eu,7,,EU Macro Stable Ridge,,,,,EU Macro Stable Ridge,macro_regression,,,,,,,,,7,75,2.49,4.082,0.834,,,,,
Jun-26,leaderboard,eu,8,,EU Macro + Market Ridge,,,,,EU Macro + Market Ridge,augmented_regression,,,,,,,,,8,75,2.511,3.81,0.836,,,,,
Jun-26,leaderboard,jp,1,,ConsumerSim JP adapted,,,,,ConsumerSim JP adapted,simulation,,,,,,,,,1,75,1.35,2.088,0.813,,,,,
Jun-26,leaderboard,jp,2,,Theta Model,,,,,Theta Model,time_series,,,,,,,,,2,75,1.374,2.063,0.818,,,,,
Jun-26,leaderboard,jp,3,,Autoregressive Ridge (3 lags),,,,,Autoregressive Ridge (3 lags),time_series,,,,,,,,,3,75,1.393,2.295,0.794,,,,,
Jun-26,leaderboard,jp,4,,ETS Damped Trend,,,,,ETS Damped Trend,time_series,,,,,,,,,4,75,1.492,2.438,0.798,,,,,
Jun-26,leaderboard,jp,5,,News Semantic FAAR Proxy,,,,,News Semantic FAAR Proxy,text_augmented_regression,,,,,,,,,5,75,1.55,2.374,0.753,,,,,
Jun-26,leaderboard,jp,6,,Auto ARIMA (small grid),,,,,Auto ARIMA (small grid),time_series,,,,,,,,,6,75,1.642,2.576,0.778,,,,,
Jun-26,leaderboard,jp,7,,Expectations Regression,,,,,Expectations Regression,econometric,,,,,,,,,7,75,1.643,2.774,0.76,,,,,
Jun-26,leaderboard,jp,8,,3-Month Rolling Mean,,,,,3-Month Rolling Mean,time_series,,,,,,,,,8,75,1.816,2.722,0.652,,,,,
Jun-26,leaderboard,jp,9,,Japan Macro + Market Ridge,,,,,Japan Macro + Market Ridge,augmented_regression,,,,,,,,,9,75,1.951,2.841,0.783,,,,,
Jun-26,leaderboard,jp,10,,Japan Macro Stable Ridge,,,,,Japan Macro Stable Ridge,macro_regression,,,,,,,,,10,75,1.959,2.997,0.771,,,,,
Jun-26,series,us,1,,,,,,,,,Jul-25,,,,,,,,,,,,,,62.12,61.7,,
Jun-26,series,us,2,,,,,,,,,Aug-25,,,,,,,,,,,,,,63.01,58.2,,
Jun-26,series,us,3,,,,,,,,,Sep-25,,,,,,,,,,,,,,59.61,55.1,,
Jun-26,series,us,4,,,,,,,,,Oct-25,,,,,,,,,,,,,,56.3,53.6,,
Jun-26,series,us,5,,,,,,,,,Nov-25,,,,,,,,,,,,,,55.32,54,,
Jun-26,series,us,6,,,,,,,,,Dec-25,,,,,,,,,,,,,,55.91,54.9,,
Jun-26,series,us,7,,,,,,,,,Jan-26,,,,,,,,,,,,,,57.26,56.4,,
Jun-26,series,us,8,,,,,,,,,Feb-26,,,,,,,,,,,,,,58.65,57.6,,
Jun-26,series,us,9,,,,,,,,,Mar-26,,,,,,,,,,,,,,57.47,56.4,,
Jun-26,series,us,10,,,,,,,,,Apr-26,,,,,,,,,,,,,,53,53.2,,
Jun-26,series,us,11,,,,,,,,,May-26,,,,,,,,,,,,,,52.2,52.5,,
Jun-26,series,us,12,,,,,,,,,Jun-26,,,,,,,,,,,,,,54.1,53.9,,
Jun-26,series,eu,1,,,,,,,,,Jul-25,,,,,,,,,,,,,,-13.42,-13.2,,
Jun-26,series,eu,2,,,,,,,,,Aug-25,,,,,,,,,,,,,,-13.23,-13.4,,
Jun-26,series,eu,3,,,,,,,,,Sep-25,,,,,,,,,,,,,,-13.39,-13.5,,
Jun-26,series,eu,4,,,,,,,,,Oct-25,,,,,,,,,,,,,,-12.96,-12.5,,
Jun-26,series,eu,5,,,,,,,,,Nov-25,,,,,,,,,,,,,,-12.11,-12.3,,
Jun-26,series,eu,6,,,,,,,,,Dec-25,,,,,,,,,,,,,,-12.4,-12.6,,
Jun-26,series,eu,7,,,,,,,,,Jan-26,,,,,,,,,,,,,,-12.54,-12.8,,
Jun-26,series,eu,8,,,,,,,,,Feb-26,,,,,,,,,,,,,,-11.81,-11.9,,
Jun-26,series,eu,9,,,,,,,,,Mar-26,,,,,,,,,,,,,,-11.97,-12.4,,
Jun-26,series,eu,10,,,,,,,,,Apr-26,,,,,,,,,,,,,,-13.6,-13.9,,
Jun-26,series,eu,11,,,,,,,,,May-26,,,,,,,,,,,,,,-13.2,-13.0 ,,
Jun-26,series,eu,12,,,,,,,,,Jun-26,,,,,,,,,,,,,,-12.8,-12.5,,
Jun-26,series,jp,1,,,,,,,,,Jul-25,,,,,,,,,,,,,,34.76,34,,
Jun-26,series,jp,2,,,,,,,,,Aug-25,,,,,,,,,,,,,,34.07,34.9,,
Jun-26,series,jp,3,,,,,,,,,Sep-25,,,,,,,,,,,,,,34.89,35.4,,
Jun-26,series,jp,4,,,,,,,,,Oct-25,,,,,,,,,,,,,,35.31,35.9,,
Jun-26,series,jp,5,,,,,,,,,Nov-25,,,,,,,,,,,,,,35.9,37.2,,
Jun-26,series,jp,6,,,,,,,,,Dec-25,,,,,,,,,,,,,,37.22,36.9,,
Jun-26,series,jp,7,,,,,,,,,Jan-26,,,,,,,,,,,,,,37,37.4,,
Jun-26,series,jp,8,,,,,,,,,Feb-26,,,,,,,,,,,,,,37.69,37.7,,
Jun-26,series,jp,9,,,,,,,,,Mar-26,,,,,,,,,,,,,,39.65,39.3,,
Jun-26,series,jp,10,,,,,,,,,Apr-26,,,,,,,,,,,,,,35.1,36.0 ,,
Jun-26,series,jp,11,,,,,,,,,May-26,,,,,,,,,,,,,,35.4,36.2,,
Jun-26,series,jp,12,,,,,,,,,Jun-26,,,,,,,,,,,,,,36.2,36.8,,
